economy_code,indicator_id,ref_period,value,flag
AFG,out_gdp_ppp_level,2023,91925.384,OK
BAN,out_gdp_ppp_level,2023,1546.8946,OK
BHR,out_gdp_ppp_level,2023,89.064402,OK
BRN,out_gdp_ppp_level,2023,39.565231,OK
BTN,out_gdp_ppp_level,2023,12.284698,OK
CAM,out_gdp_ppp_level,2023,127.53478,OK
CHN,out_gdp_ppp_level,2023,36381.143,OK
FJI,out_gdp_ppp_level,2023,14.009047,OK
HKG,out_gdp_ppp_level,2023,541.19486,OK
IDN,out_gdp_ppp_level,2023,4359.9831,OK
IND,out_gdp_ppp_level,2023,13879.624,OK
IRN,out_gdp_ppp_level,2023,2286.6779,OK
JPN,out_gdp_ppp_level,2023,6335.5854,OK
KOR,out_gdp_ppp_level,2023,3099.7351,OK
KWT,out_gdp_ppp_level,2023,253.6447,OK
LAO,out_gdp_ppp_level,2023,73.971776,OK
MAL,out_gdp_ppp_level,2023,1282.142,OK
MDV,out_gdp_ppp_level,2023,9650.9885,OK
MGL,out_gdp_ppp_level,2023,64.180303,OK
MYA,out_gdp_ppp_level,2023,144.09673,OK
NEP,out_gdp_ppp_level,2023,153.85693,OK
OMN,out_gdp_ppp_level,2023,219.77779,OK
PAK,out_gdp_ppp_level,2023,1495.7541,OK
PHL,out_gdp_ppp_level,2023,1265.6995,OK
QAT,out_gdp_ppp_level,2023,346.47084,OK
ROC,out_gdp_ppp_level,2023,1730.7543,OK
SAU,out_gdp_ppp_level,2023,2191.2832,OK
SIN,out_gdp_ppp_level,2023,847.92433,OK
SRI,out_gdp_ppp_level,2023,327.20791,OK
THA,out_gdp_ppp_level,2023,1694.3805,OK
TUR,out_gdp_ppp_level,2023,3245.0275,OK
UAE,out_gdp_ppp_level,2023,839.13268,OK
VIE,out_gdp_ppp_level,2023,1507.4379,OK
AFG,dem_private_cons_ppp_level,2023,76503.307,OK
BAN,dem_private_cons_ppp_level,2023,1036.2781,OK
BHR,dem_private_cons_ppp_level,2023,38.983514,OK
BRN,dem_private_cons_ppp_level,2023,13.732662,OK
BTN,dem_private_cons_ppp_level,2023,8.0799801,OK
CAM,dem_private_cons_ppp_level,2023,81.096167,OK
CHN,dem_private_cons_ppp_level,2023,15270.3,OK
FJI,dem_private_cons_ppp_level,2023,9.7461531,OK
HKG,dem_private_cons_ppp_level,2023,371.174,OK
IDN,dem_private_cons_ppp_level,2023,2495.7399,OK
IND,dem_private_cons_ppp_level,2023,8484.774,OK
IRN,dem_private_cons_ppp_level,2023,1278.5749,OK
JPN,dem_private_cons_ppp_level,2023,3407.9562,OK
KOR,dem_private_cons_ppp_level,2023,1473.0077,OK
KWT,dem_private_cons_ppp_level,2023,97.071432,OK
LAO,dem_private_cons_ppp_level,2023,26.951688,OK
MAL,dem_private_cons_ppp_level,2023,767.15169,OK
MDV,dem_private_cons_ppp_level,2023,4761.4655,OK
MGL,dem_private_cons_ppp_level,2023,29.805679,OK
MYA,dem_private_cons_ppp_level,2023,78.546692,OK
NEP,dem_private_cons_ppp_level,2023,136.13477,OK
OMN,dem_private_cons_ppp_level,2023,87.866014,OK
PAK,dem_private_cons_ppp_level,2023,1306.4486,OK
PHL,dem_private_cons_ppp_level,2023,957.0193,OK
QAT,dem_private_cons_ppp_level,2023,89.376188,OK
ROC,dem_private_cons_ppp_level,2023,847.43431,OK
SAU,dem_private_cons_ppp_level,2023,899.32978,OK
SIN,dem_private_cons_ppp_level,2023,262.95629,OK
SRI,dem_private_cons_ppp_level,2023,211.09604,OK
THA,dem_private_cons_ppp_level,2023,973.71525,OK
TUR,dem_private_cons_ppp_level,2023,2186.0221,OK
UAE,dem_private_cons_ppp_level,2023,434.22963,OK
VIE,dem_private_cons_ppp_level,2023,786.18927,OK
AFG,dem_gov_cons_ppp_level,2023,20248.438,OK
BAN,dem_gov_cons_ppp_level,2023,87.617096,OK
BHR,dem_gov_cons_ppp_level,2023,13.372752,OK
BRN,dem_gov_cons_ppp_level,2023,8.9779873,OK
BTN,dem_gov_cons_ppp_level,2023,2.4719445,OK
CAM,dem_gov_cons_ppp_level,2023,7.7673782,OK
CHN,dem_gov_cons_ppp_level,2023,5432.6493,OK
FJI,dem_gov_cons_ppp_level,2023,2.6590933,OK
HKG,dem_gov_cons_ppp_level,2023,71.065456,OK
IDN,dem_gov_cons_ppp_level,2023,326.26492,OK
IND,dem_gov_cons_ppp_level,2023,1376.8864,OK
IRN,dem_gov_cons_ppp_level,2023,217.81548,OK
JPN,dem_gov_cons_ppp_level,2023,1330.8143,OK
KOR,dem_gov_cons_ppp_level,2023,528.81718,OK
KWT,dem_gov_cons_ppp_level,2023,59.700503,OK
LAO,dem_gov_cons_ppp_level,2023,7.517826,OK
MAL,dem_gov_cons_ppp_level,2023,152.0389,OK
MDV,dem_gov_cons_ppp_level,2023,1632.3808,OK
MGL,dem_gov_cons_ppp_level,2023,8.1866031,OK
MYA,dem_gov_cons_ppp_level,2023,17.460238,OK
NEP,dem_gov_cons_ppp_level,2023,10.184096,OK
OMN,dem_gov_cons_ppp_level,2023,44.95145,OK
PAK,dem_gov_cons_ppp_level,2023,151.29213,OK
PHL,dem_gov_cons_ppp_level,2023,183.62303,OK
QAT,dem_gov_cons_ppp_level,2023,54.840796,OK
ROC,dem_gov_cons_ppp_level,2023,240.39483,OK
SAU,dem_gov_cons_ppp_level,2023,524.64113,OK
SIN,dem_gov_cons_ppp_level,2023,88.360367,OK
SRI,dem_gov_cons_ppp_level,2023,31.912866,OK
THA,dem_gov_cons_ppp_level,2023,287.67327,OK
TUR,dem_gov_cons_ppp_level,2023,404.30855,OK
UAE,dem_gov_cons_ppp_level,2023,108.63613,OK
VIE,dem_gov_cons_ppp_level,2023,135.77736,OK
AFG,dem_gfcf_ppp_level,2023,18422.36,OK
BAN,dem_gfcf_ppp_level,2023,497.06603,OK
BHR,dem_gfcf_ppp_level,2023,27.770276,OK
BRN,dem_gfcf_ppp_level,2023,12.074436,OK
BTN,dem_gfcf_ppp_level,2023,4.4913979,OK
CAM,dem_gfcf_ppp_level,2023,36.636708,OK
CHN,dem_gfcf_ppp_level,2023,14721.575,OK
FJI,dem_gfcf_ppp_level,2023,2.5397382,OK
HKG,dem_gfcf_ppp_level,2023,95.587765,OK
IDN,dem_gfcf_ppp_level,2023,1327.5212,OK
IND,dem_gfcf_ppp_level,2023,4508.2828,OK
IRN,dem_gfcf_ppp_level,2023,393.51734,OK
JPN,dem_gfcf_ppp_level,2023,1595.3259,OK
KOR,dem_gfcf_ppp_level,2023,937.94743,OK
KWT,dem_gfcf_ppp_level,2023,49.56001,OK
LAO,dem_gfcf_ppp_level,2023,36.646914,OK
MAL,dem_gfcf_ppp_level,2023,251.07488,OK
MDV,dem_gfcf_ppp_level,2023,3163.4679,OK
MGL,dem_gfcf_ppp_level,2023,16.494668,OK
MYA,dem_gfcf_ppp_level,2023,60.238943,OK
NEP,dem_gfcf_ppp_level,2023,38.940009,OK
OMN,dem_gfcf_ppp_level,2023,56.834824,OK
PAK,dem_gfcf_ppp_level,2023,167.12467,OK
PHL,dem_gfcf_ppp_level,2023,289.05607,OK
QAT,dem_gfcf_ppp_level,2023,163.02654,OK
ROC,dem_gfcf_ppp_level,2023,436.91014,OK
SAU,dem_gfcf_ppp_level,2023,616.58343,OK
SIN,dem_gfcf_ppp_level,2023,188.25805,OK
SRI,dem_gfcf_ppp_level,2023,66.839313,OK
THA,dem_gfcf_ppp_level,2023,406.53532,OK
TUR,dem_gfcf_ppp_level,2023,878.94742,OK
UAE,dem_gfcf_ppp_level,2023,225.7941,OK
VIE,dem_gfcf_ppp_level,2023,459.08958,OK
AFG,prod_tfp_index,2023,0.71201639,OK
BAN,prod_tfp_index,2023,0.98941021,OK
BRN,prod_tfp_index,2023,0.9789194,OK
BTN,prod_tfp_index,2023,0.91644333,OK
CAM,prod_tfp_index,2023,0.86382754,OK
CHN,prod_tfp_index,2023,1.2346149,OK
FJI,prod_tfp_index,2023,1.1624613,OK
HKG,prod_tfp_index,2023,1.116762,OK
IDN,prod_tfp_index,2023,0.95585828,OK
IND,prod_tfp_index,2023,1.2983761,OK
IRN,prod_tfp_index,2023,1.0416295,OK
JPN,prod_tfp_index,2023,1.0327916,OK
KOR,prod_tfp_index,2023,1.101981,OK
LAO,prod_tfp_index,2023,1.0717205,OK
MAL,prod_tfp_index,2023,1.1048917,OK
MDV,prod_tfp_index,2023,1.0258264,OK
MGL,prod_tfp_index,2023,0.97165317,OK
MYA,prod_tfp_index,2023,0.860105,OK
NEP,prod_tfp_index,2023,1.0762445,OK
PAK,prod_tfp_index,2023,1.1166432,OK
PHL,prod_tfp_index,2023,1.0247986,OK
ROC,prod_tfp_index,2023,1.153271,OK
SIN,prod_tfp_index,2023,1.0689233,OK
SRI,prod_tfp_index,2023,0.80981602,OK
THA,prod_tfp_index,2023,1.0100664,OK
TUR,prod_tfp_index,2023,1.1151841,OK
VIE,prod_tfp_index,2023,1.1741539,OK
AFG,prod_lp_per_hour_index,2023,0.89100366,OK
BAN,prod_lp_per_hour_index,2023,1.8787839,OK
BRN,prod_lp_per_hour_index,2023,0.8933346,OK
BTN,prod_lp_per_hour_index,2023,1.8585501,OK
CAM,prod_lp_per_hour_index,2023,1.5909935,OK
CHN,prod_lp_per_hour_index,2023,2.2947116,OK
FJI,prod_lp_per_hour_index,2023,1.1390084,OK
HKG,prod_lp_per_hour_index,2023,1.2631183,OK
IDN,prod_lp_per_hour_index,2023,1.4592212,OK
IND,prod_lp_per_hour_index,2023,1.8581607,OK
IRN,prod_lp_per_hour_index,2023,1.1464084,OK
JPN,prod_lp_per_hour_index,2023,1.062173,OK
KOR,prod_lp_per_hour_index,2023,1.4347211,OK
LAO,prod_lp_per_hour_index,2023,1.5295574,OK
MAL,prod_lp_per_hour_index,2023,1.3423364,OK
MDV,prod_lp_per_hour_index,2023,1.2918258,OK
MGL,prod_lp_per_hour_index,2023,1.6453225,OK
MYA,prod_lp_per_hour_index,2023,1.4224928,OK
NEP,prod_lp_per_hour_index,2023,1.3517245,OK
PAK,prod_lp_per_hour_index,2023,1.2255778,OK
PHL,prod_lp_per_hour_index,2023,1.5146435,OK
ROC,prod_lp_per_hour_index,2023,1.3528853,OK
SIN,prod_lp_per_hour_index,2023,1.3643015,OK
SRI,prod_lp_per_hour_index,2023,1.4096804,OK
THA,prod_lp_per_hour_index,2023,1.4742716,OK
TUR,prod_lp_per_hour_index,2023,1.5988047,OK
VIE,prod_lp_per_hour_index,2023,1.9117584,OK
AFG,prod_lp_per_worker_index,2023,0.84372948,OK
BAN,prod_lp_per_worker_index,2023,1.9993914,OK
BHR,prod_lp_per_worker_index,2023,1.0938212,OK
BRN,prod_lp_per_worker_index,2023,0.86484517,OK
BTN,prod_lp_per_worker_index,2023,1.6110634,OK
CAM,prod_lp_per_worker_index,2023,1.6424607,OK
CHN,prod_lp_per_worker_index,2023,2.202312,OK
FJI,prod_lp_per_worker_index,2023,1.1929049,OK
HKG,prod_lp_per_worker_index,2023,1.1656768,OK
IDN,prod_lp_per_worker_index,2023,1.3823153,OK
IND,prod_lp_per_worker_index,2023,1.8729983,OK
IRN,prod_lp_per_worker_index,2023,1.1062674,OK
JPN,prod_lp_per_worker_index,2023,1.0189422,OK
KOR,prod_lp_per_worker_index,2023,1.2246132,OK
KWT,prod_lp_per_worker_index,2023,0.7707445,OK
LAO,prod_lp_per_worker_index,2023,1.5248795,OK
MAL,prod_lp_per_worker_index,2023,1.3039467,OK
MDV,prod_lp_per_worker_index,2023,1.3156382,OK
MGL,prod_lp_per_worker_index,2023,1.8479466,OK
MYA,prod_lp_per_worker_index,2023,1.1087675,OK
NEP,prod_lp_per_worker_index,2023,1.3625197,OK
OMN,prod_lp_per_worker_index,2023,0.69721381,OK
PAK,prod_lp_per_worker_index,2023,1.2384692,OK
PHL,prod_lp_per_worker_index,2023,1.4628979,OK
QAT,prod_lp_per_worker_index,2023,0.8392025,OK
ROC,prod_lp_per_worker_index,2023,1.3447717,OK
SAU,prod_lp_per_worker_index,2023,1.5699111,OK
SIN,prod_lp_per_worker_index,2023,1.2805274,OK
SRI,prod_lp_per_worker_index,2023,1.4496152,OK
THA,prod_lp_per_worker_index,2023,1.2774575,OK
TUR,prod_lp_per_worker_index,2023,1.461478,OK
UAE,prod_lp_per_worker_index,2023,1.0661063,OK
VIE,prod_lp_per_worker_index,2023,1.8675838,OK
AFG,lab_hours_worked_level,2023,17513.758,OK
BAN,lab_hours_worked_level,2023,160214.84,OK
BRN,lab_hours_worked_level,2023,495.96016,OK
BTN,lab_hours_worked_level,2023,867.10475,OK
CAM,lab_hours_worked_level,2023,25139.267,OK
CHN,lab_hours_worked_level,2023,1550979.2,OK
FJI,lab_hours_worked_level,2023,716.34608,OK
HKG,lab_hours_worked_level,2023,7756.9447,OK
IDN,lab_hours_worked_level,2023,273243.78,OK
IND,lab_hours_worked_level,2023,1155928.3,OK
IRN,lab_hours_worked_level,2023,56266.413,OK
JPN,lab_hours_worked_level,2023,115540.08,OK
KOR,lab_hours_worked_level,2023,55617.778,OK
LAO,lab_hours_worked_level,2023,9693.1785,OK
MAL,lab_hours_worked_level,2023,35261.648,OK
MDV,lab_hours_worked_level,2023,606.8571,OK
MGL,lab_hours_worked_level,2023,2294.3007,OK
MYA,lab_hours_worked_level,2023,46503.211,OK
NEP,lab_hours_worked_level,2023,22372.324,OK
PAK,lab_hours_worked_level,2023,145328.24,OK
PHL,lab_hours_worked_level,2023,92758.994,OK
ROC,lab_hours_worked_level,2023,24230.737,OK
SIN,lab_hours_worked_level,2023,8358.3385,OK
SRI,lab_hours_worked_level,2023,15422.112,OK
THA,lab_hours_worked_level,2023,81549.55,OK
TUR,lab_hours_worked_level,2023,63345.359,OK
VIE,lab_hours_worked_level,2023,123913.6,OK
AFG,pop_total_level,2023,36812.396,OK
BAN,pop_total_level,2023,170922.58,OK
BHR,pop_total_level,2023,1577.059,OK
BRN,pop_total_level,2023,450.5,OK
BTN,pop_total_level,2023,768.59624,OK
CAM,pop_total_level,2023,16441.652,OK
CHN,pop_total_level,2023,1409670.0,OK
FJI,pop_total_level,2023,924.145,OK
HKG,pop_total_level,2023,7536.1,OK
IDN,pop_total_level,2023,271298.97,OK
IND,pop_total_level,2023,1438069.6,OK
IRN,pop_total_level,2023,86870.398,OK
JPN,pop_total_level,2023,124352.0,OK
KOR,pop_total_level,2023,51712.619,OK
KWT,pop_total_level,2023,4514.3324,OK
LAO,pop_total_level,2023,7659.6478,OK
MAL,pop_total_level,2023,33379.0,OK
MDV,pop_total_level,2023,464.13608,OK
MGL,pop_total_level,2023,3521.9037,OK
MYA,pop_total_level,2023,54133.798,OK
NEP,pop_total_level,2023,28645.861,OK
OMN,pop_total_level,2023,5077.0406,OK
PAK,pop_total_level,2023,214448.25,OK
PHL,pop_total_level,2023,114036.98,OK
QAT,pop_total_level,2023,2791.7271,OK
ROC,pop_total_level,2023,23420.442,OK
